FMAID,Parent ID
69251,4142
69267,4142
68141,4142
31941,4142
69250,4142
31953,4142
69249,4142
10702,4145
10701,4145
4052,4145
4153,4149
4155,4149
4168,4163
4165,4163
4173,4163
4170,4163
12287,4176
12286,4176
12291,4176
12294,4176
66241,4176
12290,4176
12289,4176
12293,4176
12288,4176
12292,4176
3994,4176
12299,4178
12303,4178
12306,4178
12298,4178
12302,4178
12305,4178
12297,4178
12301,4178
12300,4178
12296,4178
12304,4178
12312,4179
12316,4179
12307,4179
12315,4179
12311,4179
12314,4179
12310,4179
12309,4179
12313,4179
12317,4179
12308,4179
12324,4180
12328,4180
12320,4180
12319,4180
12323,4180
12327,4180
12318,4180
12322,4180
12326,4180
12321,4180
12325,4180
12337,4181
12333,4181
12341,4181
12332,4181
12336,4181
12340,4181
12331,4181
12335,4181
12339,4181
12334,4181
12338,4181
12350,4182
12349,4182
12345,4182
12344,4182
12348,4182
12352,4182
12347,4182
12343,4182
12351,4182
12346,4182
12342,4182
12354,4183
12358,4183
12362,4183
12357,4183
12361,4183
12356,4183
12360,4183
12364,4183
12355,4183
12359,4183
12363,4183
12384,4184
12379,4184
12381,4184
12378,4184
12383,4184
12382,4184
12386,4184
12380,4184
12377,4184
12385,4184
12376,4184
12367,4185
12371,4185
12375,4185
12366,4185
12370,4185
12374,4185
12369,4185
12365,4185
12373,4185
12368,4185
12372,4185
12462,4186
12466,4186
12457,4186
12459,4186
12465,4186
12458,4186
12461,4186
12456,4186
12464,4186
12460,4186
12463,4186
12471,4187
12475,4187
12474,4187
12470,4187
12469,4187
12473,4187
12477,4187
12468,4187
12472,4187
12476,4187
12467,4187
12480,4188
12479,4188
12483,4188
12487,4188
12482,4188
12486,4188
12489,4188
12481,4188
12485,4188
12488,4188
12484,4188
12496,4191
12500,4191
12492,4191
12499,4191
12491,4191
12495,4191
12498,4191
12494,4191
12497,4191
12501,4191
12493,4191
12504,4192
12507,4192
12509,4192
12512,4192
12503,4192
12511,4192
12508,4192
12502,4192
12506,4192
12510,4192
12505,4192
12735,4193
12739,4193
12731,4193
12730,4193
12734,4193
12738,4193
12737,4193
12733,4193
12736,4193
12729,4193
12732,4193
12409,4194
12408,4194
12400,4194
12404,4194
12407,4194
12399,4194
12403,4194
12402,4194
12406,4194
12405,4194
12401,4194
12707,4195
12710,4195
12714,4195
12713,4195
12715,4195
12712,4195
12709,4195
12711,4195
12717,4195
12708,4195
12716,4195
12391,4196
12396,4196
12394,4196
12387,4196
12390,4196
12395,4196
12393,4196
12392,4196
12389,4196
12397,4196
12388,4196
12752,4197
12754,4197
12753,4197
12728,4198
12722,4198
12726,4198
13928,4198
12719,4198
12721,4198
12718,4198
12725,4198
13927,4198
12720,4198
12724,4198
12727,4198
12723,4198
4654,4613
4634,4613
4656,4615
4635,4615
4637,4617
4658,4617
4659,4618
4638,4618
4639,4619
4660,4619
4661,4620
4640,4620
4641,4621
4662,4621
4642,4622
4663,4622
4643,4623
4664,4623
4665,4624
4644,4624
4666,4625
4645,4625
4669,4628
4648,4628
4670,4629
4649,4629
4671,4630
4650,4630
4672,4631
4651,4631
4652,4632
4673,4632
4674,4633
4653,4633
74912,4677
74930,4677
74929,4677
265161,4677
265163,4677
74916,4677
74933,4677
74920,4677
74937,4677
265159,4677
269053,4677
74924,4677
79740,4677
74928,4677
74915,4677
74932,4677
74936,4677
74927,4677
74923,4677
74918,4677
262870,4677
74914,4677
74931,4677
74935,4677
74926,4677
74919,4677
74917,4677
74922,4677
74934,4677
74938,4677
74913,4677
74921,4677
74925,4677
3760,4679
3752,4679
